vcore,badbits
1800, 0
1790, 0
1780, 0
1770, 0
1760, 0
1750, 0
1740, 0
1730, 0
1720, 0
1710, 0
1700, 0
1690, 0
1680, 0
1670, 0
1660, 0
1650, 0
1640, 0
1630, 0
1620, 0
1610, 0
1600, 0
1590, 0
1580, 1
1570, 1
1560, 1
1550, 1
1540, 1
1530, 1
1520, 2
1510, 2
1500, 3
1490, 4
1480, 5
1470, 6
1460, 8
1450, 11
1440, 14
1430, 21
1420, 27
1410, 30
1400, 38
1390, 44
1380, 58
1370, 67
1360, 78
1350, 102
1340, 120
1330, 141
1320, 169
1310, 194
1300, 234
1290, 278
1280, 307
1270, 352
1260, 406
1250, 486
1240, 560
1230, 622
1220, 742
1210, 828
1200, 1009
1190, 1224
1180, 1384
1170, 1532
1160, 1615
1150, 1632
1140, 1676
1130, 1694
1120, 1726
1110, 1753
1100, 1737
1090, 1656
1080, 1609
1070, 1478
1060, 1421
1050, 1158
1040, 1098
1030, 1048
1020, 1035
1010, 1028
