vcore,badbits
1800, 0
1790, 0
1780, 0
1770, 0
1760, 0
1750, 0
1740, 0
1730, 0
1720, 0
1710, 0
1700, 0
1690, 0
1680, 0
1670, 0
1660, 0
1650, 0
1640, 0
1630, 0
1620, 0
1610, 0
1600, 0
1590, 0
1580, 0
1570, 0
1560, 1
1550, 1
1540, 1
1530, 1
1520, 1
1510, 1
1500, 2
1490, 2
1480, 2
1470, 4
1460, 4
1450, 5
1440, 6
1430, 7
1420, 10
1410, 12
1400, 16
1390, 23
1380, 28
1370, 33
1360, 43
1350, 48
1340, 56
1330, 67
1320, 78
1310, 89
1300, 109
1290, 118
1280, 136
1270, 148
1260, 177
1250, 207
1240, 225
1230, 246
1220, 269
1210, 306
1200, 337
1190, 377
1180, 418
1170, 646
1160, 908
1150, 1127
1140, 1289
1130, 1344
1120, 1368
1110, 1395
1100, 1434
1090, 1455
1080, 1478
1070, 1495
1060, 1521
1050, 1546
1040, 1562
1030, 1592
1020, 1601
1010, 1622
