vcore,badbits
1800, 0
1790, 0
1780, 0
1770, 0
1760, 0
1750, 0
1740, 0
1730, 0
1720, 0
1710, 0
1700, 0
1690, 0
1680, 0
1670, 0
1660, 0
1650, 0
1640, 0
1630, 0
1620, 0
1610, 0
1600, 0
1590, 0
1580, 0
1570, 0
1560, 0
1550, 0
1540, 0
1530, 0
1520, 0
1510, 0
1500, 0
1490, 0
1480, 0
1470, 0
1460, 0
1450, 0
1440, 0
1430, 0
1420, 0
1410, 0
1400, 0
1390, 0
1380, 0
1370, 0
1360, 0
1350, 0
1340, 0
1330, 0
1320, 0
1310, 0
1300, 0
1290, 0
1280, 0
1270, 0
1260, 0
1250, 0
1240, 2
1230, 3
1220, 3
1210, 6
1200, 70
1190, 348
1180, 614
1170, 949
1160, 1020
1150, 1025
1140, 1028
1130, 1024
1120, 1031
1110, 1021
1100, 1008
1090, 1014
1080, 1004
1070, 1008
1060, 1019
1050, 1027
1040, 1018
1030, 1015
1020, 1018
1010, 1027
