vcore,badbits
1800, 0
1790, 0
1780, 0
1770, 0
1760, 0
1750, 0
1740, 0
1730, 0
1720, 0
1710, 0
1700, 0
1690, 0
1680, 0
1670, 0
1660, 0
1650, 0
1640, 0
1630, 0
1620, 0
1610, 0
1600, 0
1590, 0
1580, 0
1570, 0
1560, 0
1550, 0
1540, 0
1530, 0
1520, 0
1510, 0
1500, 0
1490, 0
1480, 0
1470, 0
1460, 0
1450, 0
1440, 0
1430, 0
1420, 0
1410, 0
1400, 0
1390, 0
1380, 0
1370, 0
1360, 0
1350, 0
1340, 0
1330, 1
1320, 2
1310, 3
1300, 6
1290, 17
1280, 24
1270, 44
1260, 69
1250, 138
1240, 228
1230, 355
1220, 498
1210, 742
1200, 962
1190, 1021
1180, 1011
1170, 1007
1160, 1015
1150, 1024
1140, 1023
1130, 1016
1120, 1023
1110, 1025
1100, 1026
1090, 1028
1080, 1028
1070, 1028
1060, 1028
1050, 1028
1040, 1028
1030, 1028
1020, 1028
1010, 1028
