vcore,badbits
1800, 0
1790, 0
1780, 0
1770, 0
1760, 0
1750, 0
1740, 0
1730, 0
1720, 0
1710, 0
1700, 0
1690, 0
1680, 0
1670, 0
1660, 0
1650, 0
1640, 0
1630, 0
1620, 0
1610, 0
1600, 0
1590, 0
1580, 0
1570, 0
1560, 0
1550, 0
1540, 0
1530, 0
1520, 0
1510, 0
1500, 0
1490, 0
1480, 0
1470, 0
1460, 0
1450, 0
1440, 0
1430, 0
1420, 0
1410, 0
1400, 0
1390, 0
1380, 0
1370, 0
1360, 0
1350, 0
1340, 0
1330, 0
1320, 0
1310, 0
1300, 0
1290, 0
1280, 0
1270, 0
1260, 0
1250, 0
1240, 0
1230, 0
1220, 0
1210, 0
1200, 0
1190, 0
1180, 0
1170, 68
1160, 299
1150, 503
1140, 631
1130, 806
1120, 993
1110, 1033
1100, 1033
1090, 1030
1080, 1032
1070, 1036
1060, 1031
1050, 1037
1040, 1037
1030, 1033
1020, 1029
1010, 1028
