vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 1
 400, 5
 390, 10
 380, 17
 370, 33
 360, 47
 350, 76
 340, 107
 330, 140
 320, 191
 310, 270
 300, 356
 290, 475
 280, 586
 270, 718
 260, 820
 250, 909
 240, 955
 230, 964
 220, 986
 210, 994
 200, 1001
 190, 996
 180, 1017
 170, 1016
 160, 1028
 150, 1041
 140, 1051
 130, 1042
 120, 1044
 110, 1043
 100, 1037
  90, 1033
  80, 1028
  70, 1025
  60, 1026
  50, 1021
  40, 1009
  30, 1006
  20, 1003
  10, 1009
