vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 0
 400, 0
 390, 0
 380, 4
 370, 8
 360, 13
 350, 25
 340, 38
 330, 60
 320, 97
 310, 146
 300, 217
 290, 372
 280, 571
 270, 777
 260, 899
 250, 932
 240, 968
 230, 975
 220, 988
 210, 996
 200, 1017
 190, 1023
 180, 1016
 170, 1016
 160, 1016
 150, 1034
 140, 1037
 130, 1039
 120, 1043
 110, 1042
 100, 1044
  90, 1040
  80, 1037
  70, 1032
  60, 1034
  50, 1028
  40, 1022
  30, 1015
  20, 1015
  10, 1012
