addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1420,     0,  1430,     0,  1410,  1440,  1410
   1,  1410,  1380,   940,  1420,     0,  1380,  1400,  1420
   2,  1230,  1250,   980,  1430,     0,  1290,  1430,  1420
   3,  1380,  1420,  1430,  1400,  1430,  1420,  1450,  1420
   4,  1420,  1430,  1400,  1440,  1420,  1420,  1440,  1260
   5,  1380,  1380,   980,  1390,  1440,  1380,  1420,  1420
   6,  1240,  1270,   980,  1430,  1470,  1410,  1440,  1410
   7,  1420,  1420,  1430,  1430,  1430,  1410,  1440,  1390
   8,  1240,  1430,  1370,  1430,  1420,  1410,  1210,  1300
   9,  1210,  1380,   980,  1230,  1380,  1370,  1400,  1420
  10,  1380,  1430,  1430,  1400,  1430,  1410,  1440,  1300
  11,  1390,  1430,  1400,  1430,  1430,  1380,  1510,  1470
  12,  1390,  1430,  1390,  1430,  1400,  1420,  1370,  1320
  13,  1300,  1450,  1440,  1440,  1440,  1380,  1450,  1420
  14,  1420,  1380,  1300,  1430,  1430,  1380,  1410,  1460
  15,  1420,  1430,  1390,  1400,  1470,  1420,  1320,  1430
  16,  1410,  1440,  1480,  1400,  1440,  1420,  1440,  1430
  17,  1400,  1380,  1410,  1430,  1390,  1420,  1420,  1390
  18,  1420,  1430,  1420,  1430,  1360,  1410,  1440,  1430
  19,  1380,  1390,  1410,  1430,  1390,  1410,  1410,  1420
  20,  1380,  1430,  1430,  1380,  1430,  1390,  1450,  1520
  21,  1310,  1370,  1390,  1270,  1430,  1460,  1450,  1510
  22,  1420,  1430,  1430,  1430,  1400,  1420,  1390,  1420
  23,  1420,  1380,  1430,  1430,  1430,  1410,  1410,  1240
  24,  1420,  1430,  1420,  1380,  1400,  1390,  1440,  1230
  25,  1410,  1430,  1430,  1430,  1430,  1380,  1440,  1390
  26,  1420,  1420,  1430,  1430,  1420,  1410,  1410,  1480
  27,  1420,  1390,  1440,  1440,  1430,  1410,  1440,  1430
  28,  1410,  1430,  1250,  1430,  1430,  1400,  1440,  1380
  29,  1380,  1430,  1250,  1270,  1260,  1410,  1220,  1250
  30,  1250,  1430,  1250,  1390,  1380,  1360,  1400,  1420
  31,  1420,  1380,  1390,  1430,  1320,  1410,  1440,  1520
  32,  1400,  1430,  1400,  1430,  1390,  1410,  1440,  1420
  33,  1410,  1380,  1130,  1220,  1430,  1380,  1200,  1390
  34,  1380,  1430,  1430,  1400,  1240,  1410,  1420,  1420
  35,  1400,  1350,  1390,  1410,  1430,  1420,  1440,  1420
  36,  1420,  1420,  1420,  1430,  1420,  1420,  1440,  1400
  37,  1270,  1380,  1320,  1390,  1430,  1380,  1410,  1420
  38,  1390,  1270,  1440,  1440,  1420,  1410,  1430,  1400
  39,  1420,  1420,  1430,  1490,  1430,  1410,  1440,  1460
  40,  1410,  1430,  1400,  1390,  1430,  1270,  1400,  1420
  41,  1400,  1380,  1420,  1440,  1380,  1380,  1440,  1420
  42,  1420,  1430,  1430,  1430,  1430,  1370,  1410,  1390
  43,  1420,  1420,  1430,  1440,  1510,  1260,  1410,  1420
  44,  1420,  1430,  1400,  1430,  1420,  1410,  1440,  1380
  45,  1380,  1370,  1430,  1440,  1320,  1410,  1440,  1490
  46,  1220,  1280,  1440,  1280,  1560,  1410,  1440,  1430
  47,  1430,  1490,  1430,  1440,  1420,  1410,  1450,  1430
  48,  1240,  1400,  1490,  1390,  1390,  1360,  1400,  1380
  49,  1420,  1430,  1430,  1390,  1430,  1410,  1440,  1250
  50,  1380,  1400,  1430,  1430,  1400,  1380,  1440,  1420
  51,  1420,  1430,  1390,  1430,  1430,  1420,  1420,  1430
  52,  1420,  1420,  1430,  1430,  1430,  1420,  1440,  1420
  53,  1420,  1520,  1430,  1430,  1430,  1420,  1450,  1560
  54,  1390,  1420,  1430,  1460,  1450,  1380,  1400,  1420
  55,  1420,  1420,  1430,  1430,  1430,  1400,  1440,  1470
  56,  1410,  1390,  1440,  1430,  1390,  1380,  1440,  1490
  57,  1420,  1420,  1410,  1400,  1420,  1410,  1440,  1420
  58,  1420,  1430,  1370,  1390,  1420,  1420,  1410,  1380
  59,  1380,  1450,  1430,  1430,  1400,  1380,  1440,  1520
  60,  1370,  1430,  1430,  1380,  1430,  1370,  1410,  1420
  61,  1420,  1060,  1330,  1430,  1380,  1420,  1450,  1400
  62,  1380,  1050,  1400,  1250,  1260,  1410,  1270,  1350
  63,  1210,  1380,  1430,  1220,  1430,  1380,  1450,  1400
