addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,  1360,  1440,     0,  1450,  1800,  1440,  1460,  1450
   1,  1540,  1460,  1090,  1450,  1450,  1530,  1500,  1550
   2,  1480,  1400,  1090,  1480,  1410,  1530,  1500,  1470
   3,  1600,  1480,  1500,  1460,  1540,  1530,  1570,  1470
   4,  1480,  1470,  1450,  1480,  1440,  1470,  1490,  1440
   5,  1710,  1460,  1380,  1460,  1490,  1530,  1470,  1480
   6,  1470,  1430,  1090,  1490,  1470,  1510,  1500,  1480
   7,  1490,  1470,  1520,  1500,  1490,  1530,  1500,  1550
   8,  1460,  1480,  1430,  1480,  1480,  1460,  1240,  1470
   9,  1460,  1460,  1380,  1410,  1460,  1520,  1510,  1470
  10,  1520,  1470,  1520,  1600,  1490,  1480,  1500,  1430
  11,  1570,  1470,  1520,  1510,  1490,  1550,  1470,  1480
  12,  1440,  1470,  1450,  1480,  1450,  1520,  1470,  1460
  13,  1430,  1460,  1530,  1580,  1490,  1520,  1500,  1470
  14,  1480,  1410,  1530,  1480,  1480,  1500,  1520,  1470
  15,  1520,  1480,  1520,  1500,  1480,  1480,  1480,  1480
  16,  1480,  1490,  1490,  1450,  1530,  1480,  1510,  1480
  17,  1580,  1460,  1480,  1490,  1450,  1480,  1480,  1490
  18,  1480,  1470,  1520,  1490,  1420,  1500,  1500,  1480
  19,  1550,  1450,  1480,  1490,  1460,  1460,  1480,  1480
  20,  1520,  1480,  1490,  1460,  1480,  1490,  1500,  1480
  21,  1520,  1450,  1460,  1460,  1490,  1510,  1500,  1490
  22,  1490,  1480,  1540,  1590,  1430,  1500,  1470,  1540
  23,  1500,  1450,  1510,  1480,  1480,  1440,  1460,  1490
  24,  1500,  1470,  1500,  1460,  1440,  1500,  1500,  1460
  25,  1560,  1480,  1530,  1490,  1490,  1480,  1500,  1490
  26,  1490,  1480,  1510,  1490,  1510,  1540,  1470,  1480
  27,  1560,  1460,  1510,  1490,  1490,  1460,  1500,  1500
  28,  1480,  1470,  1510,  1480,  1480,  1540,  1500,  1470
  29,  1460,  1460,  1490,  1390,  1440,  1440,  1430,  1430
  30,  1460,  1480,  1490,  1450,  1440,  1480,  1470,  1480
  31,  1500,  1450,  1490,  1490,  1420,  1470,  1500,  1500
  32,  1500,  1480,  1440,  1490,  1430,  1480,  1500,  1470
  33,  1500,  1450,  1360,  1400,  1490,  1510,  1240,  1560
  34,  1480,  1470,  1500,  1470,  1480,  1510,  1470,  1470
  35,  1500,  1370,  1480,  1450,  1460,  1500,  1470,  1470
  36,  1490,  1470,  1430,  1490,  1430,  1450,  1500,  1470
  37,  1470,  1450,  1340,  1470,  1480,  1550,  1490,  1470
  38,  1470,  1430,  1490,  1440,  1480,  1500,  1500,  1490
  39,  1510,  1480,  1480,  1500,  1490,  1470,  1500,  1490
  40,  1480,  1470,  1430,  1460,  1430,  1380,  1480,  1450
  41,  1470,  1460,  1500,  1490,  1080,  1520,  1500,  1470
  42,  1480,  1470,  1490,  1470,  1480,  1510,  1610,  1460
  43,  1610,  1470,  1530,  1500,  1450,  1510,  1530,  1470
  44,  1480,  1470,  1430,  1510,  1470,  1490,  1500,  1480
  45,  1580,  1470,  1510,  1490,  1450,  1520,  1500,  1510
  46,  1480,  1450,  1500,  1450,  1490,  1510,  1500,  1510
  47,  1530,  1490,  1510,  1500,  1480,  1440,  1500,  1480
  48,  1530,  1470,  1550,  1490,  1440,  1520,  1500,  1470
  49,  1500,  1470,  1540,  1580,  1490,  1480,  1500,  1450
  50,  1490,  1460,  1570,  1490,  1440,  1490,  1500,  1480
  51,  1530,  1480,  1430,  1490,  1480,  1490,  1470,  1500
  52,  1480,  1490,  1490,  1490,  1500,  1470,  1560,  1480
  53,  1550,  1460,  1520,  1510,  1490,  1480,  1510,  1500
  54,  1490,  1480,  1490,  1450,  1490,  1500,  1510,  1480
