addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1450,     0,  1460,     0,  1460,  1480,  1460
   1,  1470,  1380,     0,  1350,     0,  1320,  1390,  1340
   2,  1430,  1220,     0,  1490,     0,  1160,  1510,  1470
   3,  1370,  1480,  1500,  1350,  1480,  1480,  1470,  1480
   4,  1470,  1480,  1350,  1500,  1350,  1490,  1500,  1200
   5,  1370,  1380,  1080,  1360,  1480,  1330,  1390,  1340
   6,  1260,  1250,   800,  1490,  1400,  1480,  1490,  1470
   7,  1470,  1470,  1490,  1490,  1480,  1470,  1510,  1350
   8,  1400,  1470,  1380,  1490,  1450,  1470,  1340,  1290
   9,  1380,  1380,  1070,  1150,  1320,  1330,  1390,  1480
  10,  1430,  1480,  1500,  1350,  1480,  1470,  1500,  1210
  11,  1450,  1480,  1360,  1490,  1480,  1320,  1390,  1340
  12,  1330,  1480,  1360,  1490,  1360,  1460,  1060,  1240
  13,  1290,  1380,  1490,  1350,  1480,  1400,  1510,  1480
  14,  1480,  1200,  1260,  1490,  1490,  1330,  1300,  1470
  15,  1430,  1490,  1360,  1350,  1340,  1500,  1260,  1470
  16,  1460,  1480,  1480,  1350,  1500,  1320,  1510,  1370
  17,  1440,  1380,  1360,  1490,  1390,  1480,  1470,  1360
  18,  1460,  1460,  1500,  1490,  1400,  1480,  1520,  1480
  19,  1360,  1380,  1440,  1490,  1330,  1480,  1390,  1490
  20,  1330,  1490,  1490,  1350,  1490,  1390,  1510,  1340
  21,  1240,  1380,  1350,  1120,  1480,  1490,  1500,  1490
  22,  1480,  1460,  1490,  1490,  1360,  1490,  1400,  1480
  23,  1480,  1380,  1490,  1490,  1480,  1480,  1390,  1360
  24,  1460,  1480,  1360,  1350,  1360,  1390,  1500,  1180
  25,  1470,  1470,  1490,  1490,  1470,  1320,  1560,  1360
  26,  1460,  1460,  1490,  1490,  1440,  1480,  1400,  1490
  27,  1470,  1380,  1490,  1490,  1480,  1470,  1510,  1480
  28,  1450,  1480,  1260,  1500,  1480,  1320,  1520,  1350
  29,  1360,  1380,  1240,  1170,  1400,  1480,  1430,  1050
  30,  1280,  1480,  1240,  1350,  1350,  1400,  1400,  1460
  31,  1470,  1380,  1360,  1490,  1370,  1490,  1510,  1350
  32,  1330,  1470,  1380,  1490,  1360,  1470,  1490,  1450
  33,  1480,  1380,  1230,  1130,  1480,  1320,  1260,  1340
  34,  1430,  1480,  1500,  1370,  1400,  1470,  1410,  1480
  35,  1470,  1260,  1390,  1350,  1400,  1470,  1390,  1470
  36,  1470,  1440,  1360,  1490,  1360,  1490,  1510,  1370
  37,  1390,  1380,  1070,  1360,  1480,  1390,  1470,  1480
  38,  1390,  1250,  1470,  1410,  1430,  1450,  1490,  1370
  39,  1490,  1480,  1480,  1490,  1480,  1480,  1500,  1330
  40,  1450,  1480,  1360,  1350,  1350,  1390,  1390,  1460
  41,  1380,  1380,  1500,  1490,  1130,  1320,  1500,  1480
  42,  1450,  1470,  1490,  1500,  1470,  1320,  1410,  1370
  43,  1470,  1480,  1480,  1480,  1310,  1070,  1200,  1490
  44,  1480,  1480,  1360,  1480,  1480,  1480,  1530,  1380
  45,  1430,  1380,  1490,  1500,  1410,  1490,  1500,  1420
  46,  1400,  1300,  1490,  1130,  1470,  1470,  1500,  1490
  47,  1480,  1480,  1500,  1490,  1450,  1480,  1510,  1480
  48,  1440,  1400,  1470,  1350,  1350,  1310,  1400,  1350
  49,  1480,  1470,  1500,  1350,  1480,  1490,  1510,  1320
  50,  1330,  1380,  1490,  1490,  1350,  1380,  1510,  1460
  51,  1470,  1480,  1360,  1480,  1480,  1490,  1390,  1470
  52,  1460,  1490,  1490,  1490,  1490,  1490,  1500,  1490
  53,  1490,  1380,  1490,  1490,  1490,  1490,  1510,  1410
  54,  1420,  1460,  1460,  1350,  1440,  1370,  1410,  1480
  55,  1460,  1470,  1490,  1500,  1480,  1470,  1510,  1470
  56,  1460,  1400,  1490,  1460,  1430,  1380,  1490,  1490
  57,  1470,  1470,  1430,  1420,  1490,  1480,  1510,  1470
