addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1420,     0,  1410,     0,  1410,  1420,  1420
   1,  1410,  1370,     0,  1360,     0,  1380,  1410,  1370
   2,  1200,  1160,     0,  1420,     0,  1280,  1410,  1410
   3,  1350,  1420,  1410,  1350,  1430,  1410,  1380,  1410
   4,  1410,  1410,  1370,  1430,     0,  1410,  1420,  1190
   5,  1360,  1350,  1260,  1360,  1430,  1380,  1400,  1370
   6,  1090,  1130,  1260,  1420,  1390,  1410,  1420,  1420
   7,  1410,  1420,  1420,  1430,  1440,  1420,  1430,  1370
   8,  1180,  1420,  1380,  1420,  1430,  1410,  1080,  1200
   9,  1180,  1360,  1260,  1170,  1060,  1380,  1390,  1420
  10,  1370,  1430,  1420,  1380,  1450,  1410,  1420,  1190
  11,  1360,  1420,  1400,  1420,  1440,  1380,  1410,  1370
  12,  1360,  1420,  1390,  1430,     0,  1410,  1300,  1150
  13,  1180,  1380,  1420,  1360,  1440,  1380,  1430,  1420
  14,  1410,  1130,  1140,  1430,  1440,  1390,  1400,  1420
  15,  1360,  1430,  1390,  1370,     0,  1420,  1270,  1420
  16,  1410,  1420,  1410,  1390,  1470,  1380,  1430,  1370
  17,  1370,  1380,  1400,  1420,  1440,  1410,  1410,  1360
  18,  1400,  1420,  1410,  1420,  1430,  1410,  1420,  1420
  19,  1370,  1360,  1410,  1420,     0,  1410,  1390,  1410
  20,  1360,  1420,  1410,  1360,  1440,  1370,  1420,  1370
  21,  1180,  1360,  1400,  1120,  1430,  1410,  1420,  1420
  22,  1410,  1420,  1410,  1420,     0,  1410,  1400,  1410
  23,  1410,  1360,  1410,  1420,  1430,  1400,  1390,  1190
  24,  1410,  1420,  1390,  1360,  1350,  1370,  1420,  1170
  25,  1410,  1420,  1410,  1420,  1430,  1380,  1420,  1370
  26,  1410,  1420,  1410,  1430,  1420,  1410,  1400,  1420
  27,  1410,  1360,  1420,  1420,  1430,  1410,  1420,  1420
  28,  1400,  1420,  1060,  1420,  1440,  1380,  1420,  1370
  29,  1370,  1370,  1030,  1160,  1420,  1410,  1080,  1200
  30,  1080,  1420,  1030,  1360,  1380,  1370,  1410,  1420
  31,  1410,  1360,  1400,  1430,  1380,  1410,  1420,  1370
  32,  1350,  1430,  1380,  1420,  1350,  1410,  1420,  1410
