addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,  1460,  1470,  1490,  1470,  1800,  1460,  1490,  1800
   1,  1470,  1430,  1430,  1410,  1400,  1420,  1450,  1420
   2,  1310,  1330,  1320,  1480,  1260,  1310,  1500,  1480
   3,  1450,  1480,  1480,  1430,  1490,  1480,  1460,  1480
   4,  1470,  1480,  1440,  1480,  1240,  1480,  1500,  1410
   5,  1440,  1440,  1290,  1430,  1490,  1420,  1450,  1410
   6,  1380,  1340,  1290,  1490,  1430,  1480,  1500,  1480
   7,  1470,  1480,  1480,  1490,  1500,  1480,  1510,  1420
   8,  1250,  1480,  1420,  1480,  1490,  1470,  1010,  1010
   9,  1250,  1430,  1280,  1300,  1240,  1410,  1450,  1480
  10,  1460,  1480,  1480,  1430,  1490,  1480,  1500,  1380
  11,  1450,  1480,  1440,  1480,  1490,  1420,  1450,  1410
  12,  1460,  1480,  1430,  1490,  1240,  1480,  1360,  1010
  13,  1420,  1430,  1480,  1420,  1500,  1420,  1510,  1490
  14,  1470,  1330,  1320,  1480,  1500,  1440,  1460,  1490
  15,  1450,  1490,  1440,  1420,  1230,  1480,  1360,  1480
  16,  1460,  1480,  1480,  1430,  1500,  1420,  1500,  1410
  17,  1430,  1430,  1430,  1470,  1430,  1470,  1460,  1400
  18,  1460,  1470,  1470,  1480,  1430,  1480,  1500,  1480
  19,  1440,  1420,  1430,  1480,  1230,  1470,  1460,  1480
  20,  1460,  1480,  1480,  1420,  1500,  1440,  1500,  1410
  21,  1410,  1440,  1440,  1260,  1500,  1480,  1500,  1480
  22,  1470,  1480,  1480,  1480,  1420,  1480,  1450,  1480
  23,  1470,  1430,  1480,  1490,  1490,  1480,  1470,  1410
  24,  1460,  1470,  1420,  1420,  1410,  1430,  1490,  1400
  25,  1460,  1480,  1480,  1470,  1490,  1420,  1500,  1410
  26,  1470,  1480,  1480,  1480,  1480,  1480,  1450,  1480
  27,  1470,  1430,  1480,  1480,  1490,  1470,  1500,  1480
  28,  1470,  1480,  1330,  1480,  1490,  1430,  1500,  1410
  29,  1450,  1430,  1010,  1310,  1410,  1480,  1010,  1010
  30,  1400,  1480,  1010,  1430,  1420,  1430,  1450,  1480
  31,  1470,  1430,  1440,  1490,  1400,  1480,  1500,  1010
  32,  1460,  1480,  1430,  1480,  1410,  1470,  1490,  1470
  33,  1460,  1430,  1310,  1320,  1490,  1420,  1010,  1410
  34,  1460,  1480,  1480,  1430,  1420,  1470,  1450,  1480
  35,  1440,  1280,  1430,  1420,  1420,  1470,  1460,  1480
  36,  1460,  1470,  1430,  1480,  1230,  1480,  1490,  1410
  37,  1240,  1430,  1320,  1420,  1490,  1420,  1460,  1480
  38,  1450,  1330,  1480,  1430,  1490,  1480,  1500,  1410
  39,  1470,  1480,  1480,  1480,  1490,  1480,  1500,  1410
  40,  1460,  1470,  1430,  1420,  1410,  1330,  1460,  1470
  41,  1440,  1430,  1470,  1480,  1230,  1420,  1500,  1480
  42,  1460,  1480,  1470,  1480,  1490,  1430,  1450,  1420
  43,  1470,  1480,  1470,  1480,  1230,  1360,  1360,  1480
  44,  1470,  1480,  1430,  1480,  1480,  1470,  1510,  1420
  45,  1450,  1430,  1480,  1490,  1420,  1480,  1500,  1420
  46,  1400,  1330,  1470,  1300,  1490,  1470,  1500,  1480
  47,  1470,  1490,  1480,  1480,  1480,  1470,  1500,  1480
  48,  1390,  1420,  1470,  1420,  1410,  1440,  1460,  1410
  49,  1470,  1490,  1480,  1420,  1500,  1480,  1500,  1400
  50,  1460,  1420,  1480,  1480,  1230,  1440,  1500,  1480
  51,  1470,  1480,  1430,  1480,  1490,  1480,  1450,  1480
  52,  1460,  1480,  1470,  1480,  1490,  1480,  1500,  1480
  53,  1470,  1420,  1470,  1480,  1490,  1470,  1500,  1420
  54,  1450,  1480,  1470,  1420,  1490,  1420,  1460,  1480
  55,  1470,  1480,  1470,  1480,  1490,  1470,  1500,  1480
  56,  1470,  1430,  1470,  1480,  1420,  1420,  1500,  1480
  57,  1460,  1470,  1440,  1420,  1490,  1470,  1500,  1480
  58,  1460,  1480,  1430,  1430,  1480,  1470,  1450,  1410
  59,  1450,  1430,  1470,  1470,  1420,  1420,  1490,  1410
  60,  1470,  1480,  1480,  1430,  1500,  1450,  1460,  1490
  61,  1470,  1010,  1320,  1480,  1410,  1480,  1500,  1450
  62,  1450,  1010,  1430,  1290,  1410,  1470,  1350,  1390
  63,  1410,  1440,  1480,  1260,  1500,  1430,  1500,  1420
  64,  1380,  1480,  1420,  1420,  1500,  1480,  1460,  1480
  65,  1470,  1430,  1480,  1480,  1420,  1420,  1510,  1480
  66,  1380,  1330,  1320,  1280,  1490,  1470,  1440,  1390
  67,  1460,  1480,  1440,  1470,  1430,  1420,  1460,  1410
