addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1410,     0,  1410,     0,  1400,  1460,  1410
   1,  1450,  1370,     0,  1350,     0,  1320,  1360,  1330
   2,  1390,   990,     0,  1430,     0,   990,  1490,  1450
   3,  1350,  1440,  1470,  1350,  1410,  1440,  1360,  1450
   4,  1440,  1440,  1350,  1470,  1290,  1460,  1480,  1040
   5,  1350,  1370,   800,  1350,  1430,  1320,  1360,  1330
   6,  1000,   990,   800,  1450,  1360,  1450,  1470,  1440
   7,  1440,  1440,  1460,  1440,  1420,  1440,  1480,  1340
   8,  1020,  1430,  1350,  1440,  1420,  1420,  1180,   970
   9,   990,  1380,   800,  1010,  1310,  1320,  1370,  1450
  10,  1330,  1450,  1470,  1350,  1430,  1430,  1470,  1040
  11,  1350,  1450,  1350,  1430,  1410,  1320,  1370,  1330
  12,  1330,  1450,  1360,  1460,  1290,  1420,   990,   970
  13,  1000,  1360,  1460,  1350,  1420,  1320,  1490,  1450
  14,  1450,   990,  1140,  1440,  1420,  1310,  1370,  1440
  15,  1360,  1460,  1350,  1350,  1310,  1460,   990,  1440
  16,  1440,  1440,  1460,  1350,  1470,  1310,  1490,  1340
  17,  1350,  1360,  1350,  1440,  1310,  1430,  1370,  1350
  18,  1440,  1430,  1470,  1430,  1360,  1440,  1490,  1450
  19,  1350,  1360,  1350,  1450,  1310,  1450,  1360,  1460
  20,  1330,  1460,  1450,  1350,  1440,  1310,  1490,  1340
  21,  1000,  1370,  1350,   990,  1410,  1470,  1480,  1460
  22,  1460,  1430,  1470,  1470,  1290,  1450,  1370,  1460
  23,  1450,  1370,  1450,  1420,  1420,  1450,  1380,  1060
  24,  1450,  1450,  1350,  1350,  1290,  1310,  1480,   990
  25,  1450,  1440,  1470,  1430,  1400,  1320,  1490,  1350
  26,  1450,  1450,  1460,  1440,  1420,  1460,  1380,  1460
  27,  1440,  1370,  1470,  1440,  1420,  1430,  1490,  1440
  28,  1450,  1450,  1160,  1450,  1420,  1310,  1490,  1350
  29,  1360,  1370,  1120,  1010,   990,  1450,  1230,   980
  30,  1070,  1440,  1120,  1350,  1290,  1310,  1370,  1440
  31,  1450,  1360,  1340,  1430,   990,  1460,  1480,  1340
  32,  1330,  1430,  1350,  1450,  1290,  1440,  1480,  1430
  33,  1450,  1370,   990,  1010,  1410,  1320,  1160,  1330
  34,  1330,  1440,  1470,  1350,  1360,  1440,  1370,  1450
  35,  1360,  1000,  1340,  1350,  1360,  1440,  1370,  1450
  36,  1440,  1430,  1350,  1430,  1290,  1460,  1490,  1350
  37,  1030,  1360,   990,  1350,  1420,  1320,  1380,  1450
  38,  1330,   990,  1460,  1350,  1390,  1450,  1480,  1350
  39,  1460,  1450,  1450,  1450,  1450,  1450,  1480,  1330
